Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,96877399,12410.13882319537,4254118,600790,2098879,268.8695199495341,95464,15846,
United States of America,Americas,24413331,73755.7,1315393,188176,406782,1228.94,21369,3979,Community transmission
India,South-East Asia,10639684,7709.89,96843,14256,153184,111,1091,152,Clusters of cases
Brazil,Americas,8697368,40917.35,373074,59119,214147,1007.47,7052,1316,Community transmission
Russian Federation,Europe,3698273,25342.01,153650,20921,68971,472.62,3886,559,Clusters of cases
The United Kingdom,Europe,3583911,52793.07,267888,40261,95981,1413.86,8686,1401,Community transmission
France,Europe,2961737,45374.26,135973,22609,72255,1106.96,2694,648,Community transmission
Spain,Europe,2456675,52543.83,147066,0,55041,1177.23,1071,0,Community transmission
Italy,Europe,2441854,40386.71,89431,13633,84674,1400.45,3349,472,Clusters of cases
Germany,Europe,2122679,25335.15,103043,16417,51521,614.93,5547,879,Community transmission
Colombia,Americas,1972345,38762.44,123244,15366,50187,986.32,2696,395,Community transmission
Argentina,Americas,1843077,40779.85,72362,11396,46355,1025.65,1230,139,Community transmission
Mexico,Americas,1711283,13272.68,122914,22339,146174,1133.72,8258,1803,Community transmission
Turkey,Europe,1604134,19020.06,45357,5967,24789,293.92,1125,149,Community transmission
Poland,Europe,1470879,38864.22,41267,6431,35253,931.47,2040,345,Community transmission
South Africa,Africa,1392568,23480,80882,11761,40076,675.72,3609,575,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1360825,16201.66,42530,6305,57225,681.31,604,75,Community transmission
Ukraine,Europe,1187897,27162.01,33205,4928,21778,497.97,1092,116,Community transmission
Peru,Americas,1082907,32843.38,34245,4232,39274,1191.14,710,117,Community transmission
Indonesia,South-East Asia,965283,3529.07,82865,13632,27453,100.37,1969,250,Community transmission
Netherlands,Europe,938628,54778.82,37230,5791,13422,783.31,572,89,Community transmission
Czechia,Europe,933361,87156.85,49455,8514,15270,1425.91,1055,140,Community transmission
Canada,Americas,731450,19380.19,42559,5955,18622,493.4,1084,160,Community transmission
Romania,Europe,706475,36723.48,18205,2699,17628,916.33,530,74,Community transmission
Chile,Americas,690066,36098.49,28886,4959,17786,930.41,417,84,Community transmission
Belgium,Europe,689271,59473.12,10935,0,20675,1783.92,292,0,Community transmission
Iraq,Eastern Mediterranean,612092,15217.65,5101,685,12984,322.8,52,7,Community transmission
Portugal,Europe,609136,59738.49,80667,13987,9920,972.86,1377,234,Clusters of cases
Israel,Europe,569152,65755.84,37829,0,4158,480.39,258,0,Community transmission
Sweden,Europe,547166,54178.79,23655,4209,11005,1089.68,142,3,Community transmission
Bangladesh,South-East Asia,530890,3223.58,4405,619,7981,48.46,119,15,Community transmission
Pakistan,Eastern Mediterranean,528891,2394.34,14553,1745,11204,50.72,341,47,Community transmission
Philippines,Western Pacific,509887,4653.06,13241,2170,10136,92.5,260,20,Community transmission
Switzerland,Europe,506775,58555.42,13988,2145,8300,959.03,370,62,Community transmission
Morocco,Eastern Mediterranean,464844,12593.79,7219,1138,8105,219.58,217,29,Clusters of cases
Austria,Europe,398636,44261.42,10641,1779,7288,809.2,357,66,Community transmission
Serbia,Europe,380802,54683.36,10979,1709,3849,552.72,141,19,Community transmission
Saudi Arabia,Eastern Mediterranean,365988,10512.71,1375,213,6346,182.28,33,4,Sporadic cases
Hungary,Europe,358317,37091.51,7730,1344,11904,1232.25,640,93,Community transmission
Japan,Western Pacific,356074,2815.34,40164,5054,4935,39.02,555,105,Clusters of cases
Jordan,Eastern Mediterranean,318911,31256.18,6060,730,4207,412.32,86,9,Community transmission
Panama,Americas,305752,70861.76,14467,1975,4944,1145.83,293,32,Community transmission
Lebanon,Eastern Mediterranean,272411,39911.1,29125,3170,2218,324.96,393,67,Community transmission
United Arab Emirates,Eastern Mediterranean,270810,27381.09,24434,3552,776,78.46,43,10,Community transmission
Nepal,South-East Asia,268948,9230.52,2132,302,1986,68.16,38,7,Clusters of cases
Georgia,Europe,252972,63414.74,5947,998,3038,761.56,122,16,Community transmission
Ecuador,Americas,237158,13442,10292,969,14562,825.37,289,36,Community transmission
Belarus,Europe,234111,24775.43,12507,1813,1628,172.29,64,9,Community transmission
Slovakia,Europe,233027,42681.74,10275,0,3894,713.23,477,0,Clusters of cases
Croatia,Europe,228568,55676.77,3993,599,4799,1168.99,211,29,Community transmission
Azerbaijan,Europe,228526,22538.91,1977,280,3064,302.19,81,11,Clusters of cases
Kazakhstan,Europe,219527,11691.45,4600,0,2956,157.43,71,0,Clusters of cases
Bulgaria,Europe,214430,30860.14,2927,566,8799,1266.33,342,58,Clusters of cases
Dominican Republic,Americas,201145,18542.28,12176,1473,2496,230.09,64,14,Community transmission
Bolivia (Plurinational State of),Americas,196393,16824.52,15377,2648,9818,841.08,288,54,Community transmission
Tunisia,Eastern Mediterranean,193273,16353.26,18208,2389,6092,515.46,564,103,Community transmission
Denmark,Europe,193038,33327.22,5718,773,1941,335.11,221,32,Community transmission
Costa Rica,Americas,188477,36998.95,5235,765,2506,491.94,105,14,Community transmission
Ireland,Europe,184279,37320.17,17731,2357,2870,581.23,334,52,Community transmission
Malaysia,Western Pacific,176180,5443.37,25114,3631,660,20.39,74,18,Clusters of cases
Lithuania,Europe,175851,64596.74,9171,1005,2628,965.36,214,37,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,173964,34101.13,3754,494,1937,379.7,89,12,Community transmission
Armenia,Europe,165909,55989,1674,198,3034,1023.88,47,4,Community transmission
Egypt,Eastern Mediterranean,160463,1568.03,5843,748,8853,86.51,380,52,Clusters of cases
Kuwait,Eastern Mediterranean,160367,37551.65,3403,533,952,222.92,5,1,Community transmission
Slovenia,Europe,155752,74919.02,8736,1446,3528,1697.02,251,34,Clusters of cases
Republic of Moldova,Europe,155302,38498.62,3039,514,3332,825.99,104,17,Community transmission
Guatemala,Americas,152956,8537.6,5396,561,5420,302.53,243,31,Community transmission
Greece,Europe,151041,14491.05,3181,562,5598,537.08,177,28,Community transmission
Qatar,Eastern Mediterranean,148521,51550.94,1636,263,248,86.08,2,0,Community transmission
Honduras,Americas,138044,13937.35,6081,1146,3422,345.5,87,16,Community transmission
Myanmar,South-East Asia,136591,2510.41,3213,425,3031,55.71,105,18,Clusters of cases
Ethiopia,Africa,132881,1155.85,2555,555,2060,17.92,37,3,Community transmission
Oman,Eastern Mediterranean,132486,25943.94,1222,0,1517,297.07,8,0,Community transmission
Paraguay,Americas,125518,17597.94,5878,1071,2570,360.32,103,13,Community transmission
Venezuela (Bolivarian Republic of),Americas,122260,4299.49,3845,569,1129,39.7,39,7,Community transmission
Bosnia and Herzegovina,Europe,119420,36399.45,2089,214,4555,1388.37,126,19,Community transmission
Nigeria,Africa,118138,573.1,10793,1485,1490,7.23,77,5,Community transmission
Libya,Eastern Mediterranean,112540,16378.29,4523,794,1737,252.79,86,21,Community transmission
Algeria,Africa,105124,2397.3,2264,272,2856,65.13,37,2,Community transmission
Kenya,Africa,99769,1855.43,910,139,1740,32.36,14,1,Community transmission
China,Western Pacific,99767,67.81,1308,178,4810,3.27,7,1,Clusters of cases
Bahrain,Eastern Mediterranean,99210,58304.81,2189,332,366,215.09,9,0,Clusters of cases
North Macedonia,Europe,90124,43258.55,1735,307,2768,1328.61,86,14,Community transmission
Puerto Rico,Americas,89282,31208.17,3328,554,1761,615.55,69,29,Community transmission
Kyrgyzstan,Europe,83796,12843.88,810,93,1398,214.28,16,2,Clusters of cases
Uzbekistan,Europe,78317,2339.97,413,45,621,18.55,2,1,Clusters of cases
Republic of Korea,Western Pacific,74692,1456.86,2876,431,1337,26.08,101,9,Clusters of cases
Albania,Europe,70655,24551.77,4020,739,1303,452.78,38,7,Clusters of cases
Norway,Europe,60259,11115.35,2525,372,544,100.35,27,0,Community transmission
Latvia,Europe,59586,31590.53,5520,876,1076,570.46,156,19,Community transmission
Ghana,Africa,59480,1914.21,2499,0,361,11.62,20,0,Community transmission
Singapore,Western Pacific,59250,10127.61,191,15,29,4.96,0,0,Sporadic cases
Montenegro,Europe,57522,91585.92,2039,0,765,1218.02,22,0,Clusters of cases
Kosovo[1],Europe,57277,30787.78,2185,289,1437,772.42,48,14,Community transmission
Sri Lanka,South-East Asia,56863,2655.51,5269,787,278,12.98,23,2,Clusters of cases
Afghanistan,Eastern Mediterranean,54559,1401.52,621,76,2373,60.96,37,3,Clusters of cases
El Salvador,Americas,52672,8120.62,2515,284,1540,237.43,71,10,Community transmission
Luxembourg,Europe,49438,78977.22,816,119,562,897.8,13,0,Community transmission
Zambia,Africa,43333,2357.11,9055,1120,610,33.18,83,13,Community transmission
Finland,Europe,41915,7564.9,2004,350,644,116.23,26,6,Community transmission
